,feature,importance,normalized_importance,cumulative_importance
0,varpp,128.4,0.0575268817204301,0.0575268817204301
1,varcc,50.400000000000006,0.02258064516129032,0.08010752688172042
2,os_version_win7,28.500000000000004,0.012768817204301074,0.0928763440860215
3,zone_id_13732852.0,25.2,0.011290322580645159,0.10416666666666666
4,banner_id_23012989.0,23.599999999999998,0.010573476702508957,0.11474014336917561
5,netspeed_BROADBAND,22.099999999999998,0.00990143369175627,0.12464157706093187
6,mobile_isp_0.0,22.000000000000004,0.00985663082437276,0.13449820788530464
7,browser_chrome,20.7,0.009274193548387094,0.14377240143369174
8,device_type_phone,20.200000000000003,0.009050179211469533,0.15282258064516127
9,lang_en,19.599999999999998,0.008781362007168456,0.16160394265232972
10,browser_fb,18.0,0.008064516129032256,0.16966845878136197
11,os_version_android5,16.6,0.007437275985663082,0.17710573476702504
12,os_version_win10,14.8,0.0066308243727598555,0.1837365591397849
13,zone_id_13014907.0,14.5,0.006496415770609318,0.1902329749103942
14,city_code_10358.0,14.5,0.006496415770609318,0.19672939068100354
15,os_version_win8,13.3,0.005958781362007168,0.2026881720430107
16,isp_102005.0,13.2,0.005913978494623654,0.20860215053763437
17,advertiser_id_364023.0,13.1,0.005869175627240142,0.21447132616487452
18,os_version_android6,12.8,0.005734767025089605,0.22020609318996412
19,isp_0.0,12.700000000000001,0.005689964157706093,0.2258960573476702
20,isp_85721.0,12.7,0.005689964157706092,0.2315860215053763
21,banner_id_22791771.0,12.299999999999999,0.005510752688172042,0.23709677419354835
22,os_version_android4,12.200000000000001,0.0054659498207885295,0.24256272401433687
23,zone_id_11419795.0,12.000000000000002,0.005376344086021505,0.24793906810035837
24,banner_id_23702003.0,11.999999999999998,0.005376344086021503,0.2533154121863799
25,banner_id_18814469.0,11.9,0.005331541218637992,0.25864695340501787
26,device_type_tablet,11.9,0.005331541218637992,0.26397849462365586
27,isp_22364.0,11.9,0.005331541218637992,0.26931003584229385
28,geo_IN,11.8,0.0052867383512544795,0.27459677419354833
29,netspeed_XDSL,11.8,0.0052867383512544795,0.2798835125448028
30,advertiser_id_348979.0,11.6,0.005197132616487454,0.2850806451612903
31,geo_RE,10.9,0.0048835125448028665,0.28996415770609313
32,isp_12854.0,10.799999999999999,0.004838709677419353,0.29480286738351247
33,city_code_57.0,10.7,0.004793906810035841,0.2995967741935483
34,varp,10.6,0.004749103942652329,0.3043458781362006
35,region_code_19.0,10.4,0.004659498207885304,0.3090053763440859
36,isp_20939.0,10.3,0.004614695340501791,0.3136200716845877
37,device_type_desktop,10.000000000000002,0.004480286738351254,0.318100358422939
38,zone_id_7139224.0,10.0,0.004480286738351253,0.32258064516129026
39,banner_id_23628112.0,9.8,0.004390681003584229,0.3269713261648745
40,region_code_10131.0,9.5,0.004256272401433691,0.3312275985663082
41,zone_id_11164447.0,9.499999999999998,0.00425627240143369,0.33548387096774185
42,advertiser_id_12720.0,9.3,0.004166666666666666,0.3396505376344085
43,advertiser_id_30804.0,9.299999999999999,0.004166666666666666,0.34381720430107515
44,zone_id_13268697.0,9.2,0.004121863799283153,0.3479390681003583
45,city_code_3.0,9.0,0.004032258064516128,0.3519713261648744
46,advertiser_id_426898.0,9.0,0.004032258064516128,0.35600358422939055
47,zone_id_12125226.0,8.999999999999998,0.004032258064516127,0.36003584229390667
48,city_code_4162.0,8.899999999999999,0.003987455197132615,0.3640232974910393
49,banner_id_23442759.0,8.7,0.0038978494623655904,0.3679211469534049
50,isp_60275.0,8.7,0.0038978494623655904,0.3718189964157705
51,zone_id_8480536.0,8.500000000000002,0.0038082437275985663,0.37562724014336907
52,banner_id_23585448.0,8.5,0.0038082437275985654,0.37943548387096765
53,banner_id_23930008.0,8.4,0.003763440860215053,0.3831989247311827
54,city_code_73.0,8.1,0.0036290322580645154,0.3868279569892472
55,lang_fi,8.0,0.0035842293906810027,0.3904121863799282
56,isp_43754.0,8.0,0.0035842293906810027,0.3939964157706092
57,zone_id_9027644.0,7.9,0.0035394265232974904,0.39753584229390665
58,banner_id_22163738.0,7.800000000000001,0.003494623655913978,0.4010304659498206
59,os_windows,7.8,0.0034946236559139777,0.4045250896057346
60,region_code_9998.0,7.699999999999999,0.003449820788530465,0.40797491039426503
61,advertiser_id_324265.0,7.6,0.0034050179211469528,0.411379928315412
62,advertiser_id_61330.0,7.3999999999999995,0.0033154121863799273,0.4146953405017919
63,region_code_3985.0,7.300000000000001,0.0032706093189964155,0.41796594982078833
64,banner_id_22186655.0,7.3,0.003270609318996415,0.42123655913978475
65,browser_native,7.299999999999999,0.0032706093189964146,0.42450716845878117
66,advertiser_id_538060.0,7.2,0.003225806451612903,0.4277329749103941
67,isp_46814.0,7.1,0.00318100358422939,0.4309139784946235
68,device_iphone,6.999999999999999,0.003136200716845877,0.4340501792114694
69,city_code_10971.0,6.9,0.003091397849462365,0.43714157706093176
70,zone_id_13873001.0,6.7,0.00300179211469534,0.44014336917562713
71,region_code_25289.0,6.7,0.00300179211469534,0.4431451612903225
72,advertiser_id_305648.0,6.7,0.00300179211469534,0.44614695340501787
73,zone_id_8811710.0,6.600000000000001,0.002956989247311828,0.44910394265232967
